추출명	판정	대상/사유
21 이두 컬	신규	'21 컬'로 표기 정리
AB 휠	스킵	앱 휠 롤아웃 동일
Ab Scissors	신규	'시저 킥'
Air Bike	스킵	어썰트 바이크 동일
Bear Crawl	신규	'베어 크롤'
Behind the Back Curl (Cable)	신규	'비하인드 백 케이블 컬'
Belt Squat (Machine)	스킵	벨트 스쿼트 보유
Bent Over Row (Smith Machine)	스킵	로우 (스미스) 보유
Bulgarian Split Squat (Barbell)	스킵	불가리안 스플릿 스쿼트 (바벨) 보유
Burpee Broad Jumps	신규	'버피 브로드 점프'
Chest Supported T Bar Row	스킵	체스트 서포티드 티바 로우 보유
Chest Supported Y Raise (Dumbbell)	신규	'체스트 서포티드 Y 레이즈'
Elbow to Knee	신규	'엘보 투 니'
Feet Up Bench Press (Barbell)	스킵	피트 업 벤치프레스 보유
Glute Bridge (Barbell)	스킵	글루트 브릿지 보유(바벨)
Gorilla Row (Kettlebell)	신규	'고릴라 로우'
Hex Press (Dumbbell)	통합	'덤벨 스퀴즈 프레스' 신규 1건으로(동일 종목)
High Knee Skips	통합	'하이 니' 신규 1건으로
Hip Abduction (Cable)	신규	'케이블 힙 어브덕션'
Hip Adduction (Cable)	신규	'케이블 힙 어덕션'
Hip Thrust (Dumbbell)	신규	'힙 쓰러스트 (덤벨)' — 기존 (바벨)/(머신)/스미스 계열 확장
Hip Thrust (Machine)	스킵	힙 쓰러스트 (머신) 보유
Hip Thrust (Smith Machine)	스킵	스미스 힙 쓰러스트 보유
Iso-Lateral Low Row	스킵	로우 로우(아이소레터럴) 동일 취급
JM Press (Barbell)	스킵	JM 프레스 보유
Kettlebell Around the World	신규	'케틀벨 어라운드 더 월드'
Kettlebell Halo	신규	'케틀벨 헤일로'
L-시트 홀드	신규	'L-싯 홀드'
Landmine Row	신규	'랜드마인 로우'
Landmine Squat and Press	신규	'랜드마인 스쿼트 앤 프레스'
Lying Neck Curls	신규	'라잉 넥 컬'
Lying Neck Curls (Weighted)	흡수	라잉 넥 컬 + loadMode bodyweight
Lying Neck Extension	신규	'라잉 넥 익스텐션'
